"cntrID","org_cntr_num","org_1s_sev","org_1s_sup_sev","sup_cntr_num","sup_cntr_avg_price","sup_cntr_avg_penalty","sup_no_pnl_share","sup_okpd_exp","sup_1s_sev","sup_1s_org_sev","sup_sim_price","price_higher_pmp","price_too_low","cntr_result"
1401659,15,0,0,0,,0,0,0,0,0,0,0,0,1
1401662,613,0,0,1,126017,0,1,1,0,0,1,0,0,1
1401668,2236,0,0,13,107320,0,1,1,0,0,0.15385,0,0,1
1401670,716,0.00279,0,1,406693,0,1,1,0,0,1,0,0,1
1401674,673,0,0,8,150426,0,1,1,0,0,0.125,0,0,1
1401677,2643,0,0,5,147437,0,1,1,0,0,0.4,0,0,1
1401679,458,0,0,9,277923,0,1,1,0,0,0.22222,0,0,1
1401682,1200,0,0,41,136958,0,1,1,0,0,0.04878,0,1,1
1401685,41,0,0,4,130375,0,1,1,0,0,0.25,0,0,1
1401690,716,0.00279,0,1,550493,0,1,1,0,0,1,0,0,1
1401691,187,0,0,1,100000,0,1,1,0,0,1,0,0,1
1401693,716,0.00279,0,7,822800,0,1,1,0,0,0.14286,0,0,1
1401696,203,0.00493,0,4,1296618,0,1,1,0,0,0.25,0,0,1
1401697,753,0.00133,0,2,373000,0,1,1,0,0,0.5,0,0,1
1401705,662,0,0,1,162744,0,1,1,0,0,1,0,0,1
1401710,376,0,0,0,,0,0,0,0,0,0,0,0,1
1401711,716,0.00279,0,7,822800,0,1,1,0,0,0.28571,0,1,1
1401713,93,0,0,42,162352,0,1,1,0,0,0.2381,0,0,1
1401716,613,0,0,4,111695,0,1,1,0,0,0.25,0,0,1
1401717,716,0.00279,0,7,822800,0,1,1,0,0,0.14286,0,0,1
1401728,716,0.00279,0,7,822800,0,1,1,0,0,0.14286,0,0,1
1401730,2643,0,0,123,174574,0,1,1,0,0,0.05691,0,0,1
1401731,45,0,0,2,173750,0,1,1,0,0,1,0,0,1
1401737,1970,0,0,6,218510,0,1,1,0,0,0.16667,0,0,1
1401739,1694,0.00118,0,1,117984,0,1,1,0,0,1,0,0,1
1401740,46,0,0,255,196026,0,1,1,0,0,0.21176,0,0,1
1401751,6408,0,0,231,240630,0,1,0.91342,0,0,0.00433,0,0,1
1401753,716,0.00279,0,7,822800,0,1,1,0,0,0.14286,0,0,1
1401754,6408,0,0,231,240630,0,1,0.91342,0,0,0.08225,0,0,1
1401756,2643,0,0,209,317740,0,1,1,0,0,0.02392,0,0,1
1401757,2643,0,0,209,317740,0,1,1,0,0,0.11483,0,0,1
1401759,2643,0,0,6,337725,0,1,1,0,0,0.33333,0,0,1
1401762,2643,0,0,209,317740,0,1,1,0,0,0.03349,0,0,1
1401765,1677,0,0,4,238927,0,1,1,0,0,0.25,0,0,1
1401768,62,0,0,1,109989,0,1,1,0,0,1,0,0,1
1401773,82,0,0,1,236640,0,1,1,0,0,1,0,0,1
1401774,1200,0,0,7,157692,0,1,1,0,0,0.42857,0,0,1
1401776,752,0,0,12,145522,0,1,1,0,0,0.16667,0,0,1
1401779,63,0,0,2,570466,0,1,1,0,0,0.5,0,0,1
1401780,2256,0,0,153,211954,0,1,1,0,0,0.13072,0,1,1
1401782,134,0,0,7,56356,0,1,1,0,0,0.28571,0,0,1
1401785,306,0,0,1,1665000,0,1,1,0,0,1,0,0,1
1401788,277,0,0,8,98341,0,1,1,0,0,0.375,0,0,1
1401791,137,0,0,1,124130,0,1,1,0,0,1,0,0,1
1401794,648,0,0,41,136958,0,1,1,0,0,0.17073,0,0,1
1401796,158,0,0,2,108139,0,1,1,0,0,1,0,0,1
1401797,28,0,0,1,295063,0,1,1,0,0,1,0,0,1
1401800,303,0.0033,0,5,278200,0,1,1,0,0,0.4,0,0,1
1401802,2236,0,0,2,461119,0,1,1,0,0,0.5,0,0,1
1401805,4,0,0,6,348591,0,1,1,0,0,0.16667,0,0,1
1401811,10,0,0,2,2322835,0,1,1,0,0,0.5,0,0,1
1401814,613,0,0,90,184197,0,1,1,0,0,0.08889,0,0,1
1401817,1211,0,0,3,173989,0,1,1,0,0,0.33333,0,0,1
1401819,458,0,0,2,133017,0,1,1,0,0,0.5,0,0,1
1401822,259,0.00386,0,1,418621,0,1,1,0,0,1,0,0,1
1401823,42,0,0,13,186230,0,1,1,0,0,0.07692,0,0,1
1401825,1970,0,0,105,123589,0,1,1,0,0,0.06667,0,0,1
1401828,158,0,0,1,5040000,0,1,1,0,0,1,0,0,1
1401831,613,0,0,1,400779,0,1,1,0,0,1,0,0,1
1401834,2643,0,0,4,868792,0,1,1,0,0,0.75,0,0,1
1401836,39,0,0,12,1436745,0,1,1,0,0,0.08333,0,0,1
1401837,2643,0,0,123,174574,0,1,1,0,0,0.15447,0,0,1
1401839,203,0.00493,0,1,19000,0,1,1,0,0,1,0,1,1
