,train_acc,train_auc,train_ll,test_acc,test_auc,test_ll,valid_acc,valid_auc,valid_ll,time
RandForest 3_100_42,0.8410684955830781,0.8409940100307556,0.41290076683618854,0.83962578239446,0.8395533575078635,0.4145820101638454,0.8389717634523175,0.8393069248466432,0.4150267234928645,13.0
RandForest 3_200_42,0.8441425844542105,0.8440668884269582,0.40946686058862397,0.8420561992275936,0.8419834743268431,0.41110655180026007,0.8423015450186467,0.8426958493162818,0.410878706445843,26.0
RandForest 3_400_42,0.8430291058137642,0.8429452990238118,0.4115408563127669,0.8416899720335598,0.8416084442703677,0.4130859756596783,0.8408364411294619,0.8412322597788392,0.41340993294633416,52.0
RandForest 3_600_42,0.8443016528314171,0.8442160249623888,0.41114231884482794,0.8426887734718338,0.8426042147244567,0.4126884386667167,0.8416355887053809,0.8420280005359824,0.41330444019502854,81.0
RandForest 3_800_42,0.8448047528151403,0.844712419432501,0.41202268931040587,0.8435211080037288,0.8434303662537497,0.4135498954147603,0.8424347362813,0.8428485815771964,0.41411223681341625,107.0
RandForest 3_1000_42,0.844519909442003,0.8444290334860153,0.412205598466219,0.843154880809695,0.8430653300819835,0.4137020680232948,0.8423015450186467,0.8427171409883426,0.41416593286498393,133.0
RandForest 4_10_42,0.8532871665112975,0.8531598844835213,0.39156472339775594,0.8523105606605407,0.8521842821085126,0.3939270807761709,0.8461640916355887,0.8466602167094771,0.39471282229112126,2.0
RandForest 4_100_42,0.864488539678312,0.8643751365928825,0.3823708119713774,0.8627313889998668,0.8626214071324936,0.38476108230180456,0.8640117208311134,0.8645890820847897,0.3854168743390234,15.0
RandForest 4_200_42,0.8651285124517246,0.865011724534779,0.3796888639920637,0.8632973764815555,0.8631814260345033,0.3821961216983702,0.8648108684070325,0.8654132117380137,0.382529863818045,33.0
RandForest 4_400_42,0.8650323315724834,0.864916942741081,0.3809657789545563,0.8634971367692102,0.8633827092572809,0.3833878747043852,0.8656100159829515,0.8661912094351064,0.3838550582893723,60.0
RandForest 4_600_42,0.8663233749130673,0.8662030632328638,0.3801867620271976,0.8647289918764149,0.86460882013177,0.38264155474631373,0.8666755460841769,0.8672498313699573,0.38319192404561636,100.0
RandForest 4_800_42,0.8666415116674805,0.866517751380059,0.3804637306937606,0.864895458782794,0.8647719213056689,0.3828957326666938,0.8664091635588705,0.8669975960282799,0.38333655571025055,128.0
RandForest 4_1000_42,0.8667191962237907,0.8665947246387375,0.3805478082177706,0.8647622852576907,0.8646374428126662,0.38296433630624827,0.8661427810335642,0.8667347148505722,0.3832078356611338,153.0
RandForest 6_10_42,0.8739253636377088,0.8737772393258327,0.3335812094620124,0.8695565321614063,0.8694091458845261,0.3403382922213058,0.8725359616409164,0.8732035506560106,0.34560200442511974,2.0
