,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,sup_type,sup_status,org_form,org_type,price_higher_pmp,price_too_low,price,pmp,okpd,type_prod,cntr_lvl,sign_date,exec_date,cntr_result
194,489152,813,0.0,0.0,10,311149,0.0,1.0,1.0,0,0.0,0.3,0,-1,45,41,0,0,709200.0,720000.0,0,19,1,20150220,20151225,1
195,489154,149,0.0,0.0,13,117161,0.0,1.0,0.07692,0,0.0,0.15385,0,-1,49,11,0,0,55006.73,64800.0,0,19,1,20150218,20151231,1
196,489155,149,0.0,0.0,1,148500,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,1,148500.0,297000.0,0,19,1,20150220,20151231,1
197,489156,1147,0.0,0.0,1,5519808,0.0,1.0,1.0,0,0.0,1.0,3,-1,166,14,1,0,5519808.0,5149391.2,0,19,1,20150217,20151229,1
198,489157,1147,0.0,0.0,1,7709688,0.0,1.0,1.0,0,0.0,1.0,0,-1,109,14,0,0,7709688.0,7729148.0,0,19,1,20150217,20151229,1
199,489158,1147,0.0,0.0,1,3858204,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,14,0,0,3858204.0,3862307.35,0,19,1,20150217,20151229,1
200,489159,1147,0.0,0.0,1,10214863,0.0,1.0,1.0,0,0.0,1.0,0,-1,109,14,0,0,10214863.0,10714690.0,0,19,1,20150217,20151229,1
201,489160,1147,0.0,0.0,1,5320770,0.0,1.0,1.0,0,0.0,1.0,0,-1,109,14,0,0,5320770.0,5337392.67,0,19,1,20150217,20151229,1
202,489161,1147,0.0,0.0,1,1763578,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,14,0,0,1763578.53,1763578.84,0,19,1,20150217,20151229,1
203,489162,1147,0.0,0.0,1,3862278,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,14,0,0,3862278.0,3862307.35,0,19,1,20150217,20151229,1
204,489163,1147,0.0,0.0,1,4528965,0.0,1.0,1.0,0,0.0,1.0,0,-1,109,14,0,0,4528965.0,5056943.33,0,19,1,20150217,20151229,1
205,489166,320,0.0,0.0,12,68313,0.0,1.0,1.0,0,0.0,0.08333,0,-1,45,41,0,0,307034.0,307671.0,0,19,1,20150220,20150531,1
206,489167,987,0.0,0.0,7,985471,0.0,1.0,0.71429,0,0.0,0.14286,0,-1,63,41,0,0,1200000.0,1200000.0,0,19,1,20150220,20150801,1
207,489168,531,0.0,0.0,2,67751,0.0,1.0,1.0,0,0.0,0.5,0,-1,109,41,0,0,17171.0,20748.0,0,19,1,20150220,20151231,1
208,489174,746,0.0,0.0,1,560520,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,560520.0,560520.0,0,19,1,20150220,20151231,1
209,489175,1387,0.00072,0.0,1,1250000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,1250000.0,1250000.0,0,19,1,20150220,20151220,1
210,489178,1387,0.00072,0.0,1,3065885,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,11,1,0,3065885.34,2900000.0,0,19,1,20150220,20151220,1
211,489179,1387,0.00072,0.0,1,2950000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,2950000.0,2950000.0,0,19,1,20150220,20151220,1
212,489180,1387,0.00072,0.0,1,850000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,850000.0,850000.0,0,19,1,20150220,20151220,1
213,489188,523,0.0,0.0,1,195617,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,12,0,0,195617.14,198984.8,0,19,1,20150217,20150310,1
214,489189,220,0.0,0.0,15,188100,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,11,0,0,73190.0,75477.0,0,19,1,20150219,20151231,1
215,489190,103,0.0,0.0,13,239162,0.0,1.0,0.53846,0,0.0,0.07692,1,-1,8,14,0,0,99999.96,100000.0,0,19,1,20150220,20150327,1
216,489191,103,0.0,0.0,1,149796,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,14,0,0,149796.0,149815.25,0,19,1,20150220,20150303,1
217,489195,44,0.0,0.0,1,189900,0.0,1.0,1.0,0,0.0,1.0,3,1,45,14,0,0,189900.0,240000.0,0,19,1,20150220,20150701,1
218,489372,459,0.0,0.0,1,893100,0.0,1.0,1.0,0,0.0,1.0,3,-1,57,41,0,0,893100.0,893100.0,0,19,1,20150224,20150630,1
219,489383,813,0.0,0.0,1,7400,0.0,1.0,1.0,0,0.0,1.0,0,-1,49,41,0,0,7400.0,7400.0,0,19,1,20150219,20150306,1
220,489391,197,0.0,0.0,1,35000,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,1,35000.0,170000.0,0,19,1,20150224,20151231,1
221,489401,746,0.0,0.0,3,122396,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,11,1,0,136276.8,132748.8,0,19,1,20150224,20150531,1
222,489403,746,0.0,0.0,17,122245,0.0,1.0,1.0,0,0.0,0.23529,0,-1,45,11,0,0,114568.8,114568.8,0,19,1,20150224,20150531,1
223,489409,1387,0.00072,0.0,2,799513,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,11,0,0,1300000.0,1300000.0,0,19,1,20150220,20151220,1
224,489410,1387,0.00072,0.0,1,1000000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,1000000.0,1000000.0,0,19,1,20150224,20151220,1
225,489411,1387,0.00072,0.0,1,144492,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,11,0,0,144492.68,233496.54,0,19,1,20150224,20150310,1
226,489412,1387,0.00072,0.0,1,2100000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,2100000.0,2100000.0,0,19,1,20150224,20151220,1
227,489413,1387,0.00072,0.0,1,2985000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,2985000.0,3000000.0,0,19,1,20150224,20151220,1
228,489419,97,0.0,0.0,1,35000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,41,0,0,35000.0,40950.0,0,19,1,20150219,20151231,1
229,489731,102,0.0,0.0,2,50048,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,41,0,0,75520.0,75524.0,0,19,1,20150224,20150630,1
230,489732,129,0.0,0.0,1,68812,0.0,1.0,1.0,0,0.0,1.0,3,-1,48,41,0,0,68812.5,112500.0,0,19,1,20150225,20151231,1
231,489733,307,0.0,0.0,1,413084,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,14,0,0,413084.7,483140.0,0,19,1,20150224,20151231,1
232,489746,232,0.0,0.0,3,213413,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,14,0,0,196564.0,240963.6,0,19,1,20150224,20151231,1
233,489747,813,0.0,0.0,1,200000,0.0,1.0,1.0,0,0.0,1.0,3,-1,48,41,0,0,200000.0,200000.0,0,19,1,20150224,20151231,1
234,489748,813,0.0,0.0,1,128383,0.0,1.0,1.0,0,0.0,1.0,3,-1,63,41,0,1,128383.97,323206.1,0,19,1,20150225,20151231,1
235,489752,261,0.0,0.0,4,415691,0.0,1.0,1.0,0,0.0,0.25,0,-1,45,41,0,0,19500.0,24000.0,0,19,1,20150225,20151231,1
236,489757,616,0.0,0.0,92,142791,0.0,1.0,0.53261,0,0.0,0.06522,1,-1,8,41,0,1,267399.52,518280.0,0,19,1,20150218,20151231,1
237,489758,1147,0.0,0.0,1,1090299,0.0,1.0,1.0,0,0.0,1.0,0,-1,48,14,0,0,1090299.1,1167600.37,0,19,1,20150220,20151231,1
238,489760,320,0.0,0.0,2,538500,0.0,1.0,1.0,0,0.0,0.5,0,-1,109,41,0,0,1000000.0,1000000.0,0,19,1,20150224,20151231,1
239,489762,259,0.0,0.0,3,889411,0.0,1.0,0.66667,0,0.0,0.66667,0,-1,13,41,0,0,300030.02,340015.01,0,19,1,20150225,20150331,1
240,489764,259,0.0,0.0,1,250000,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,1,250000.0,454122.68,0,19,1,20150225,20150312,1
241,489765,259,0.0,0.0,1,4916,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,41,0,0,4916.0,5388.67,0,19,1,20150225,20151231,1
242,489767,746,0.0,0.0,2,790452,0.0,1.0,1.0,0,0.0,0.5,0,-1,13,11,0,0,119694.0,120747.0,0,19,1,20150225,20150515,1
243,489768,746,0.0,0.0,17,122245,0.0,1.0,1.0,0,0.0,0.29412,0,-1,45,11,0,0,82368.0,82555.2,0,19,1,20150225,20150531,1
244,489769,746,0.0,0.0,17,122245,0.0,1.0,1.0,0,0.0,0.058820000000000004,0,-1,45,11,0,0,31680.0,31752.0,0,19,1,20150225,20150531,1
245,489770,1387,0.00072,0.0,3,33270,0.0,1.0,0.66667,0,0.0,0.33333,1,-1,8,11,0,1,59147.14,213182.24,0,19,1,20150225,20150312,1
246,489786,523,0.0,0.0,1,58000,0.0,1.0,1.0,0,0.0,1.0,0,-1,49,12,0,0,58000.0,63616.66,0,19,1,20150220,20150306,1
247,490010,66,0.0,0.0,15,147508,0.0,1.0,1.0,0,0.0,0.06667000000000001,0,-1,45,41,0,0,277065.0,277065.0,0,19,1,20150225,20151231,1
248,490029,616,0.0,0.0,289,120860,0.0,1.0,0.77855,0,0.0,0.02422,0,-1,48,41,0,1,277237.01,567400.0,0,19,1,20150218,20151231,1
249,490030,1147,0.0,0.0,5,6777907,0.0,1.0,0.6,0,0.0,0.2,0,-1,63,14,0,0,1163264.19,1163264.19,0,19,1,20150225,20151220,1
250,490034,338,0.0,0.0,7,70883,0.0,1.0,1.0,0,0.0,0.28570999999999996,0,-1,45,41,0,0,60168.9,72932.0,0,19,1,20150225,20151231,1
251,490035,338,0.0,0.0,186,1083406,0.0,1.0,0.93011,0,0.0,0.0914,0,-1,13,41,0,0,102480.0,102480.0,0,19,1,20150225,20150331,1
252,490045,746,0.0,0.0,3,122396,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,11,0,0,51350.0,51381.6,0,19,1,20150225,20150515,1
253,490047,1387,0.00072,0.0,1,2000000,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,11,0,0,2000000.0,2000000.0,0,19,1,20150226,20151220,1
254,490061,186,0.0,0.0,1,374553,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,11,0,0,374553.84,374553.84,0,19,1,20150225,20150424,1
255,490358,391,0.0,0.0,3,347416,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,11,0,0,537990.0,822674.18,0,19,1,20150225,20151231,1
256,490360,459,0.0,0.0,1,12510,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,0,12510.0,13500.0,0,19,1,20150226,20150430,1
257,490364,447,0.0,0.0,28,307425,0.0,1.0,1.0,0,0.0,0.21429,0,-1,45,41,0,0,279488.0,299974.2,0,19,1,20150227,20150430,1
258,490392,987,0.0,0.0,3,680651,0.0,1.0,0.33333,0,0.0,0.66667,3,-1,63,41,0,0,999955.0,999955.0,0,19,1,20150227,20150801,1
259,490393,987,0.0,0.0,1,2053500,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,0,2053500.0,2118300.0,0,19,1,20150227,20151231,1
260,490394,987,0.0,0.0,1,2049576,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,41,0,0,2049576.0,2227800.0,0,19,1,20150227,20151231,1
261,490395,987,0.0,0.0,1,705635,0.0,1.0,1.0,0,0.0,1.0,0,-1,59,41,0,0,705635.01,789363.9,0,19,1,20150226,20151231,1
262,490396,987,0.0,0.0,1,128271,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,0,128271.75,135022.89,0,19,1,20150226,20151231,1
263,490400,171,0.0,0.0,1,102150,0.0,1.0,1.0,0,0.0,1.0,3,-1,146,11,0,0,102150.84,113831.33,0,19,1,20150224,20150701,1
264,490401,19,0.0,0.0,3,157344,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,14,0,0,117143.28,127035.8,0,19,1,20150227,20150331,1
265,490675,102,0.0,0.0,5,91262,0.0,1.0,1.0,0,0.0,0.2,0,-1,45,41,0,0,29573.84,39965.0,0,19,1,20150227,20150331,1
266,490676,102,0.0,0.0,2,1290808,0.0,1.0,1.0,0,0.0,0.5,3,-1,45,41,0,0,348197.5,353500.0,0,19,1,20150227,20150930,1
267,490677,102,0.0,0.0,3,333876,0.0,1.0,1.0,0,0.0,0.66667,3,-1,45,41,0,0,250199.64,310012.0,0,19,1,20150227,20150331,1
268,490679,307,0.0,0.0,1,105000,0.0,1.0,1.0,0,0.0,1.0,3,-1,48,14,0,0,105000.0,105000.0,0,19,1,20150227,20151231,1
269,490680,443,0.0,0.0,6,645612,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,41,0,0,403800.0,435000.0,0,19,1,20150302,20150630,1
270,490681,443,0.0,0.0,6,645612,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,41,0,0,440000.0,485000.0,0,19,1,20150302,20150630,1
271,490684,138,0.0,0.0,2,448888,0.0,1.0,1.0,0,0.0,0.5,3,-1,45,41,0,0,230000.0,248000.0,0,19,1,20150226,20150731,1
272,490685,813,0.0,0.0,12,90406,0.0,1.0,1.0,0,0.0,0.16667,0,-1,45,41,0,0,157544.66,235141.4,0,19,1,20150302,20150331,1
273,490689,1147,0.0,0.0,2,202386,0.0,1.0,1.0,0,0.0,0.5,0,-1,45,14,0,0,240000.0,240000.0,0,19,1,20150226,20151231,1
274,490690,1147,0.0,0.0,11,1319134,0.0,1.0,1.0,0,0.0,0.09091,0,-1,45,14,0,0,499962.0,499962.0,0,19,1,20150226,20150625,1
275,490691,1147,0.0,0.0,11,1319134,0.0,1.0,1.0,0,0.0,0.18182,0,-1,45,14,0,0,999954.0,999954.0,0,19,1,20150226,20150625,1
276,490694,143,0.0,0.0,1,3922602,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,12,0,0,3922602.6,3922602.6,0,19,1,20150227,20181231,1
277,490695,143,0.0,0.0,1,7401601,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,12,0,0,7401601.45,7476365.11,0,19,1,20150302,20171231,1
278,490696,197,0.0,0.0,3,282786,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,41,0,0,107944.0,136200.0,0,19,1,20150302,20150302,1
279,490697,256,0.0,0.0,1,13000,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,11,0,0,13000.0,14933.34,0,19,1,20150227,20150331,1
280,490699,531,0.0,0.0,4,133345,0.0,1.0,1.0,0,0.0,0.25,0,-1,109,41,0,0,12350.0,18031.0,0,19,1,20150226,20151231,1
281,490700,531,0.0,0.0,3,210779,0.0,1.0,1.0,0,0.0,0.33333,0,-1,109,41,0,0,10035.0,13008.67,0,19,1,20150226,20151231,1
282,490701,531,0.0,0.0,2,59628,0.0,1.0,1.0,0,0.0,0.5,0,-1,109,41,0,0,13380.0,18031.0,0,19,1,20150226,20151231,1
283,490702,531,0.0,0.0,3,31751,0.0,1.0,1.0,0,0.0,0.33333,0,-1,109,41,0,0,15561.0,18031.0,0,19,1,20150226,20151231,1
284,490704,746,0.0,0.0,3,188647,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,11,0,0,412968.8,434704.0,0,19,1,20150302,20150515,1
285,490708,62,0.0,0.0,3,240336,0.0,1.0,1.0,0,0.0,0.33333,0,-1,45,41,0,0,200260.0,216070.0,0,19,1,20150227,20151231,1
286,490712,229,0.0,0.0,4,312581,0.0,1.0,0.75,0,0.0,0.75,1,-1,8,11,0,0,370150.0,370150.0,0,19,1,20150226,20150715,1
287,490713,229,0.0,0.0,1,33500,0.0,1.0,1.0,0,0.0,1.0,1,-1,8,11,0,0,33500.0,33715.0,0,19,1,20150226,20150315,1
288,490714,523,0.0,0.0,1,249750,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,12,0,0,249750.0,250000.0,0,19,1,20150302,20150630,1
289,490717,103,0.0,0.0,4,146667,0.0,1.0,1.0,0,0.0,0.25,0,-1,45,14,0,0,144339.21,144790.89,0,19,1,20150302,20150326,1
290,490718,156,0.0,0.0,28,307425,0.0,1.0,1.0,0,0.0,0.14286,0,-1,45,41,0,0,436769.6,436769.6,0,19,1,20150227,20150630,1
291,490720,553,0.0018100000000000002,0.0,2,2327982,0.0,1.0,1.0,0,0.0,0.5,3,-1,45,12,0,1,1656499.3,3000000.0,0,19,1,20150302,20151231,1
292,490955,206,0.0,0.0,1,863808,0.0,1.0,1.0,0,0.0,1.0,0,-1,45,41,0,0,863808.0,899800.0,0,19,1,20150302,20151231,1
293,490956,206,0.0,0.0,1,669733,0.0,1.0,1.0,0,0.0,1.0,3,-1,45,41,0,0,669733.05,765409.3,0,19,1,20150303,20151231,1
294,490957,109,0.0,0.0,5,42084,0.0,1.0,1.0,0,0.0,0.8,0,-1,45,41,0,0,32000.0,36260.0,0,19,1,20150302,20150324,1
295,490960,66,0.0,0.0,1,441007,0.0,1.0,1.0,0,0.0,1.0,3,-1,120,41,0,0,441007.28,0.0,0,19,1,20150303,20151231,1
