,cntrID,org_cntr_num,org_1s_sev,org_1s_sup_sev,sup_cntr_num,sup_cntr_avg_price,sup_cntr_avg_penalty,sup_no_pnl_share,sup_okpd_exp,sup_1s_sev,sup_1s_org_sev,sup_sim_price,supType,orgForm,price_higher_pmp,price_too_low,price,pmp,okpd,cntr_result
3939,1543903,353,0.0,0.0,33,607369.0,0.0,1.0,0.93939,0,0.0,0.12120999999999998,3,0,0,1,1267305.84,2147976.0,0,0
1582,1399013,67,0.0,0.0,26,90600.0,0.0,1.0,1.0,0,0.0,0.07692,3,13,0,0,29850.0,43440.0,0,1
630,1410913,64,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.00883,3,7,0,0,3106425.0,3106425.0,0,1
4319,1556294,52,0.0,0.0,16,457855.0,0.0,1.0,0.0625,0,0.0,0.125,0,0,0,0,246857.6,289380.0,12425000,0
2965,1523760,52,0.0,0.0,4,703907.0,0.0,1.0,1.0,0,0.0,0.5,0,0,0,0,144158.4,204480.0,0,0
3969,1544775,420,0.0,0.0,61,72625.0,0.0,1.0,0.52459,0,0.0,0.22951,3,0,0,0,15000.0,21875.0,0,0
1187,1479912,65,0.0,0.0,5,181694.0,0.0,1.0,1.0,0,0.0,0.4,3,0,0,0,281000.0,287743.8,0,0
4734,1438726,56,0.0,0.0,56,190085.0,0.0,1.0,1.0,0,0.0,0.125,3,13,0,0,163500.0,170162.06,0,1
5270,1425916,2643,0.0,0.0,17,88242.0,0.0,1.0,1.0,0,0.0,0.17647000000000002,3,7,0,0,43950.0,47812.5,0,1
669,1419567,25,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.11660999999999999,3,7,0,0,570885.0,570885.0,0,1
3211,1390965,46,0.0,0.0,1,366872.0,0.0,1.0,1.0,0,0.0,1.0,1,0,0,0,366872.0,371041.0,0,1
284,1446983,420,0.0,0.0,42,80880.0,0.0,1.0,1.0,0,0.0,0.19047999999999998,3,7,0,0,120000.0,130360.0,0,0
4638,1445154,773,0.0,0.0,20,388537.0,0.0,1.0,1.0,0,0.0,0.25,3,13,0,0,491801.75,491904.39,0,1
382,1395907,46,0.0,0.0,566,481791.0,0.0,1.0,1.0,0,0.0,0.14134000000000002,3,7,0,0,159120.0,159120.0,0,1
4159,1550680,116,0.0,0.0,77,136523.0,0.0,1.0,0.37661999999999995,0,0.0,0.14286,0,0,0,0,93327.48,147944.5,0,0
3092,1526718,2110,0.0,0.0,6,107026.0,0.0,1.0,1.0,0,0.0,0.33333,3,0,0,1,45645.6,250020.0,0,0
2341,1429564,366,0.0,0.0,63,378841.0,0.0,1.0,1.0,0,0.0,0.19047999999999998,1,0,0,0,86579.58,114675.0,0,1
4556,1559695,572,0.0,0.0,46,125089.0,0.0,1.0,0.02174,0,0.0,0.08696,0,0,0,0,143283.57,186084.5,31120121,0
4410,1421957,673,0.0,0.0,22,107706.0,0.0,1.0,1.0,0,0.0,0.22726999999999997,3,9,0,0,26800.0,41410.0,0,1
5526,1400164,43,0.0,0.0,3,361766.0,0.0,1.0,1.0,0,0.0,0.66667,3,13,0,0,429650.0,499948.3,0,1
4323,1556294,52,0.0,0.0,16,457855.0,0.0,1.0,0.125,0,0.0,0.125,0,0,0,0,246857.6,289380.0,12819000,0
1921,1403300,85,0.0,0.0,6,328616.0,0.0,1.0,1.0,0,0.0,0.16667,3,13,0,0,244000.0,355450.0,0,1
2939,1394625,36,0.0,0.0,60,89405.0,0.0,1.0,1.0,0,0.0,0.11667000000000001,3,13,0,0,181800.0,190500.0,0,1
3364,1532574,1101,0.0,0.0,3,17538094.0,0.0,1.0,1.0,0,0.0,0.66667,3,47,0,0,15605706.67,17063067.45,421120000,0
1404,1485527,71,0.0,0.0,12,158441.0,0.0,1.0,1.0,0,0.0,0.25,3,0,0,0,33677.57,33846.8,0,0
3195,1530022,71,0.0,0.0,27,374407.0,0.0,1.0,0.03704,0,0.0,0.03704,0,0,0,0,42324.31,42537.0,12421000,0
2218,1434078,77,0.0,0.0,99,141240.0,0.0,1.0,1.0,0,0.0,0.18182,1,0,0,0,73991.53,102654.8,0,1
1394,1418959,215,0.0,0.0,291,196459.0,0.0,1.0,1.0,0,0.0,0.18213,3,13,0,0,170710.0,172859.0,0,1
969,1471207,1258,0.0,0.00079,99,181556.0,0.0,0.9899,1.0,0,0.0,0.08081,3,0,0,0,167910.0,174000.0,0,0
5936,1411026,2110,0.0,0.0,86,130775.0,0.0,1.0,1.0,0,0.0,0.12791,3,13,0,0,187415.2,187416.2,0,1
3734,1540245,60,0.0,0.0,24,435610.0,0.0,1.0,1.0,0,0.0,0.16667,3,0,0,0,42436.42,0.0,0,0
925,1469772,16,0.0,0.0,1,72430.0,0.0,1.0,1.0,0,0.0,1.0,3,0,0,0,72430.0,91023.0,0,0
5395,1429370,6408,0.0,0.0,62,596030.0,0.0,1.0,1.0,0,0.0,0.08065,3,7,0,0,826544.0,839132.0,0,1
2727,1389184,2110,0.0,0.0,42,145466.0,0.0,1.0,1.0,0,0.0,0.2381,3,13,0,0,181035.0,182250.0,0,1
4725,1563264,458,0.0,0.0,20,280641.0,0.0,1.0,0.1,0,0.0,0.2,3,0,0,0,190400.0,195220.0,869019190,0
2099,1388197,53,0.0,0.0,255,196026.0,0.0,1.0,1.0,0,0.0,0.06275,1,0,0,0,452400.0,456820.0,0,1
2851,1521111,199,0.0,0.0,1,40000.0,0.0,1.0,1.0,0,0.0,1.0,3,45,0,1,40000.0,170000.0,0,0
3893,1392983,303,0.0033,0.0,1,150000.0,0.0,1.0,1.0,0,0.0,1.0,3,7,0,0,150000.0,150000.0,0,1
5485,1438105,2236,0.0,0.0,11,5149948.0,0.0,1.0,1.0,0,0.0,0.09091,3,13,0,0,22979111.52,26565447.0,0,1
30,1392115,32,0.0,0.0,61,410296.0,0.0,1.0,1.0,0,0.0,0.21311,1,0,0,0,193089.0,250000.0,0,1
519,1456109,456,0.0021899999999999997,0.0,38,257944.0,0.0,1.0,1.0,0,0.0,0.13158,3,13,0,0,79220.48,112384.24,0,0
4629,1423527,773,0.0,0.0,20,388537.0,0.0,1.0,1.0,0,0.0,0.1,3,13,0,0,271570.0,403550.0,0,1
3593,1420119,1922,0.0,0.0,18,103011.0,0.0,1.0,1.0,0,0.0,0.16667,3,13,0,0,244240.0,248500.0,0,1
